user;timeStamp;idParent;Id_Article
lcntrchl;1479335595;Le Monde;international_7
graci_da;1479335566;Le Monde;international_7
AstorSof;1479335355;Le Monde;international_7
maslarelou;1479335207;Le Monde;international_7
Choch99;1479335086;Le Monde;international_7
angelinascanu;1479335045;Le Monde;international_7
TK_1134;1479334999;Le Monde;international_7
MapiiHappy;1479334987;Le Monde;international_7
NenadZorkic;1479334983;Le Monde;international_7
ChuckJordan4;1479334939;Le Monde;international_7
josedacunha8;1479334915;Le Monde;international_7
canousconcerne;1479334838;Le Monde;international_7
generalpoyio;1479334829;Le Monde;international_7
profluigimarino;1479334827;Le Monde;international_7
luci560;1479334782;Le Monde;international_7
BriseboisAndr;1479334675;Le Monde;international_7
Bdnyny;1479334662;Le Monde;international_7
kelpo1002;1479334638;Le Monde;international_7
mitongo_t;1479334632;Le Monde;international_7
Jeff_APLR;1479334541;Le Monde;international_7
Je_Sauterelle2;1479334519;Le Monde;international_7
mladenovic_p;1479334497;Le Monde;international_7
ElenaGaiardoni;1479334477;Le Monde;international_7
haymella;1479334475;Le Monde;international_7
SigridVanImpe;1479334446;Le Monde;international_7
audreyc_17;1479334445;Le Monde;international_7
cyrilletrignac;1479334415;Le Monde;international_7
FredJanssen9;1479334376;Le Monde;international_7
simulator8;1479334367;Le Monde;international_7
K_D_Campbell;1479334359;Le Monde;international_7
NataliaAlbensi;1479334351;Le Monde;international_7
DoNoT3sk;1479327391;null;international_7
meiyinkun5;1479334948;DoNoT3sk;international_7
AymeuGaulliste;1479328327;DoNoT3sk;international_7
BiladFransa;1479328263;DoNoT3sk;international_7
Hdjé;1479324969;null;international_7
Elisa Mark;1479323899;null;international_7
Ray_karl;1479324325;Elisa Mark;international_7
Natentongs;1479323926;Elisa Mark;international_7
jean-baptiste angot;1479320241;null;international_7
Le Monde Afrique;1479317470;null;international_7
tiago_yola;1479350070;Le Monde Afrique;international_7
Johan_dy;1479325036;Le Monde Afrique;international_7
AMORNEKHILI;1479322274;Le Monde Afrique;international_7
geo_hub;1479320127;Le Monde Afrique;international_7
SehiFlanIves;1479318396;Le Monde Afrique;international_7
ThierryRouby;1479317832;Le Monde Afrique;international_7
_TopNews1;1479317661;Le Monde Afrique;international_7
Nicolas Stoop;1479729305;null;international_8
Influence Comm.;1479393881;null;international_8
Big Browser;1479372351;null;international_8
EnriqueMoreira;1479381486;Big Browser;international_8
fivelek;1479377700;Big Browser;international_8
dreamerlucid10;1479377071;Big Browser;international_8
Narbakov;1479375623;Big Browser;international_8
delphindruelle;1479375502;Big Browser;international_8
CombotSophie;1479374715;Big Browser;international_8
amoutiez;1479374315;Big Browser;international_8
livgeek;1479374112;Big Browser;international_8
cambodinfo;1479373664;Big Browser;international_8
douniahadni;1479373580;Big Browser;international_8
CocoKardeclos;1479373546;Big Browser;international_8
ybfishel;1479373533;Big Browser;international_8
eruditngoy;1479373279;Big Browser;international_8
GeovannyMuniz;1479373222;Big Browser;international_8
LikeinBatman;1479373164;Big Browser;international_8
DeparisJulien;1479373120;Big Browser;international_8
PierreChrist_;1479372896;Big Browser;international_8
lemondefr;1479372865;Big Browser;international_8
claudecognard;1479361005;null;international_8
hangen claude;1479333568;null;international_8
Najwaelfilali;1479559048;hangen claude;international_8
sam2Rx;1479519430;hangen claude;international_8
ouiza8;1479482812;hangen claude;international_8
AliTSP;1479462809;hangen claude;international_8
thalassa2008;1479451951;hangen claude;international_8
mariamakeita41;1479413470;hangen claude;international_8
Demba_seck;1479394875;hangen claude;international_8
MACTUNISIANO;1479378868;hangen claude;international_8
BorPhilip;1479369167;hangen claude;international_8
mcmounes;1479359685;hangen claude;international_8
gg3428;1479354055;hangen claude;international_8
RachidaMZAHKARO;1479351041;hangen claude;international_8
adid1463;1479335093;hangen claude;international_8
grangibus;1479334760;hangen claude;international_8
stan9169;1479334516;hangen claude;international_8
tweetmarieh;1479334378;hangen claude;international_8
Djab_Bouti;1479334351;hangen claude;international_8
edira2;1479334255;hangen claude;international_8
Linformatrice;1479333745;hangen claude;international_8
hangen_claude;1479333738;hangen claude;international_8
rsistons;1479333613;hangen claude;international_8
Haiti News Network;1479320241;null;international_8
Luc Bronner;1479317829;null;international_8
JerTignes;1479317846;Luc Bronner;international_8
François Appéré;1479316846;null;international_8
Big Browser;1479314713;null;international_8
coreyboulet;1479368360;Big Browser;international_8
maslarelou;1479327808;Big Browser;international_8
FOXLA23;1479326684;Big Browser;international_8
AkomagniD;1479320339;Big Browser;international_8
61Gisou;1479319273;Big Browser;international_8
francoi4;1479318522;Big Browser;international_8
vincentlvnc;1479316757;Big Browser;international_8
LuM2200;1479316425;Big Browser;international_8
devotlck;1479316121;Big Browser;international_8
Umut1hope;1479316119;Big Browser;international_8
Yara_Davenport;1479315704;Big Browser;international_8
petergarrett;1479315509;Big Browser;international_8
dreamerlucid10;1479315328;Big Browser;international_8
JuniorBuitron;1479315134;Big Browser;international_8
lemondefr;1479314770;Big Browser;international_8
Aminata Rahel;1479390603;null;international_9
cedlio;1479391403;Aminata Rahel;international_9
teddy_cat1;1479391136;Aminata Rahel;international_9
hangen claude;1479314966;null;international_9
laldum;1479315944;hangen claude;international_9
hangen_claude;1479315057;hangen claude;international_9
APARICIO Jean-Claude;1486457444;null;international_10
Philippe Ardès;1481288544;null;international_10
Letropgrand;1479542508;null;international_10
ChariseT1;1479783583;Letropgrand;international_10
marie marys;1479416352;null;international_10
Le Monde;1479331986;null;international_10
djamnet;1479542789;Le Monde;international_10
H_ttag;1479541283;Le Monde;international_10
FoMunicip69120;1479412610;Le Monde;international_10
RachidChleuh;1479388734;Le Monde;international_10
davidraphael69;1479368633;Le Monde;international_10
thesimbad;1479367547;Le Monde;international_10
skyptheswim;1479363692;Le Monde;international_10
